date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:15	388460/388460	---M--	200	added ('OK')	font/ttf	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-solid-900.ttf	C:/xampp/htdocs/dgbox/manifesto.clapat.com/webfonts/fa-solid-900.ttf	(from http://manifesto.clapat.com/css/all.min.css)
22:29:17	23568/23568	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Jun%202023%2017:59:24%20GMT	http://manifesto.clapat.com/project07.html	C:/xampp/htdocs/dgbox/manifesto.clapat.com/project07.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:29:34	296569/296569	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202023%2007:01:42%20GMT	http://manifesto.clapat.com/images/06hero.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/06hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:29:35	20805/20805	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Jun%202023%2017:59:09%20GMT	http://manifesto.clapat.com/project08.html	C:/xampp/htdocs/dgbox/manifesto.clapat.com/project08.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:29:40	384669/384669	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2010:43:37%20GMT	http://manifesto.clapat.com/images/05hero.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/05hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:30:09	178708/178708	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Jun%202023%2015:42:25%20GMT	http://manifesto.clapat.com/images/about.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/about.jpg	(from http://manifesto.clapat.com/about.html)
22:30:12	338052/338052	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20May%202023%2014:16:48%20GMT	http://manifesto.clapat.com/images/07hero.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/07hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:30:13	234701/234701	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Apr%202023%2017:32:25%20GMT	http://manifesto.clapat.com/images/08hero.jpg	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/08hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:30:13	8502/8502	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:41:50%20GMT	http://manifesto.clapat.com/images/client-01.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/client-01.png	(from http://manifesto.clapat.com/about.html)
22:30:14	3795/3795	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:41:57%20GMT	http://manifesto.clapat.com/images/client-02.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/client-02.png	(from http://manifesto.clapat.com/about.html)
